id,code,country_id/id,name
city_cl_06206,CL06206,base.cl,Paredones (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06307,CL06307,base.cl,Peralillo (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06112,CL06112,base.cl,Peumo (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06113,CL06113,base.cl,Pichidegua (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06201,CL06201,base.cl,Pichilemu (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06308,CL06308,base.cl,Placilla (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06309,CL06309,base.cl,Pumanque (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06114,CL06114,base.cl,Quinta de Tilcoco (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06101,CL06101,base.cl,Rancagua (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06115,CL06115,base.cl,Rengo (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06116,CL06116,base.cl,Requinoa (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06301,CL06301,base.cl,San Fernando (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06310,CL06310,base.cl,Santa Cruz (Reg. del Libertador Gral. Bernardo O'Higgins)
city_cl_06117,CL06117,base.cl,San Vicente (Reg. del Libertador Gral. Bernardo O'Higgins)
base.state_cl_07,CL07201,base.cl,Cauquenes (Reg. del Maule)
city_cl_07202,CL07202,base.cl,Chanco (Reg. del Maule)
city_cl_07402,CL07402,base.cl,Colbún (Reg. del Maule)
city_cl_07102,CL07102,base.cl,Constitución (Reg. del Maule)
city_cl_07103,CL07103,base.cl,Curepto (Reg. del Maule)
city_cl_07301,CL07301,base.cl,Curicó (Reg. del Maule)
city_cl_07104,CL07104,base.cl,Empedrado (Reg. del Maule)
city_cl_07302,CL07302,base.cl,Hualañé (Reg. del Maule)
city_cl_07303,CL07303,base.cl,Licantén (Reg. del Maule)
city_cl_07401,CL07401,base.cl,Linares (Reg. del Maule)
city_cl_07403,CL07403,base.cl,Longaví (Reg. del Maule)
city_cl_07105,CL07105,base.cl,Maule (Reg. del Maule)
city_cl_07304,CL07304,base.cl,Molina (Reg. del Maule)
city_cl_07404,CL07404,base.cl,Parral (Reg. del Maule)
city_cl_07106,CL07106,base.cl,Pelarco (Reg. del Maule)
city_cl_07203,CL07203,base.cl,Pelluhue (Reg. del Maule)
city_cl_07107,CL07107,base.cl,Pencahue (Reg. del Maule)
city_cl_07305,CL07305,base.cl,Rauco (Reg. del Maule)
city_cl_07405,CL07405,base.cl,Retiro (Reg. del Maule)
city_cl_07108,CL07108,base.cl,Río Claro (Reg. del Maule)
city_cl_07306,CL07306,base.cl,Romeral (Reg. del Maule)
city_cl_07307,CL07307,base.cl,Sagrada Familia (Reg. del Maule)
city_cl_07109,CL07109,base.cl,San Clemente (Reg. del Maule)
city_cl_07406,CL07406,base.cl,San Javier (Reg. del Maule)
city_cl_07110,CL07110,base.cl,San Rafael (Reg. del Maule)
city_cl_07101,CL07101,base.cl,Talca (Reg. del Maule)
city_cl_07308,CL07308,base.cl,Teno (Reg. del Maule)
city_cl_07309,CL07309,base.cl,Vichuquén (Reg. del Maule)
city_cl_07407,CL07407,base.cl,Villa Alegre (Reg. del Maule)
city_cl_07408,CL07408,base.cl,Yerbas Buenas (Reg. del Maule)
base.state_cl_08,CL08314,base.cl,Alto Biobío (Reg. del BíoBio)
city_cl_08302,CL08302,base.cl,Antuco (Reg. del BíoBio)
city_cl_08202,CL08202,base.cl,Arauco (Reg. del BíoBio)
city_cl_08303,CL08303,base.cl,Cabrero (Reg. del BíoBio)
city_cl_08203,CL08203,base.cl,Cañete (Reg. del BíoBio)
city_cl_08103,CL08103,base.cl,Chiguayante (Reg. del BíoBio)
city_cl_08101,CL08101,base.cl,Concepción (Reg. del BíoBio)
city_cl_08204,CL08204,base.cl,Contulmo (Reg. del BíoBio)
city_cl_08102,CL08102,base.cl,Coronel (Reg. del BíoBio)
city_cl_08205,CL08205,base.cl,Curanilahue (Reg. del BíoBio)
city_cl_08104,CL08104,base.cl,Florida (Reg. del BíoBio)
city_cl_08112,CL08112,base.cl,Hualpén (Reg. del BíoBio)
city_cl_08105,CL08105,base.cl,Hualqui (Reg. del BíoBio)
city_cl_08304,CL08304,base.cl,Laja (Reg. del BíoBio)
city_cl_08201,CL08201,base.cl,Lebu (Reg. del BíoBio)
city_cl_08206,CL08206,base.cl,Los Alamos (Reg. del BíoBio)
city_cl_08301,CL08301,base.cl,Los Angeles (Reg. del BíoBio)
city_cl_08106,CL08106,base.cl,Lota (Reg. del BíoBio)
city_cl_08305,CL08305,base.cl,Mulchén (Reg. del BíoBio)
city_cl_08306,CL08306,base.cl,Nacimiento (Reg. del BíoBio)
city_cl_08307,CL08307,base.cl,Negrete (Reg. del BíoBio)
city_cl_08107,CL08107,base.cl,Penco (Reg. del BíoBio)
city_cl_08308,CL08308,base.cl,Quilaco (Reg. del BíoBio)
city_cl_08309,CL08309,base.cl,Quilleco (Reg. del BíoBio)
city_cl_08108,CL08108,base.cl,San Pedro De La Paz (Reg. del BíoBio)
city_cl_08310,CL08310,base.cl,San Rosendo (Reg. del BíoBio)
city_cl_08311,CL08311,base.cl,Santa Bárbara (Reg. del BíoBio)
city_cl_08109,CL08109,base.cl,Santa Juana (Reg. del BíoBio)
city_cl_08110,CL08110,base.cl,Talcahuano (Reg. del BíoBio)
city_cl_08207,CL08207,base.cl,Tirua (Reg. del BíoBio)
city_cl_08111,CL08111,base.cl,Tomé (Reg. del BíoBio)
city_cl_08312,CL08312,base.cl,Tucapel (Reg. del BíoBio)
city_cl_08313,CL08313,base.cl,Yumbel (Reg. del BíoBio)
base.state_cl_09,CL09201,base.cl,Angol (Reg. de la Araucania)
city_cl_09102,CL09102,base.cl,Carahue (Reg. de la Araucania)
city_cl_09121,CL09121,base.cl,Cholchol (Reg. de la Araucania)
city_cl_09202,CL09202,base.cl,Collipulli (Reg. de la Araucania)
city_cl_09103,CL09103,base.cl,Cunco (Reg. de la Araucania)
city_cl_09203,CL09203,base.cl,Curacautín (Reg. de la Araucania)
city_cl_09104,CL09104,base.cl,Curarrehue (Reg. de la Araucania)
city_cl_09204,CL09204,base.cl,Ercilla (Reg. de la Araucania)
city_cl_09105,CL09105,base.cl,Freire (Reg. de la Araucania)
city_cl_09106,CL09106,base.cl,Galvarino (Reg. de la Araucania)
city_cl_09107,CL09107,base.cl,Gorbea (Reg. de la Araucania)
city_cl_09108,CL09108,base.cl,Lautaro (Reg. de la Araucania)
city_cl_09109,CL09109,base.cl,Loncoche (Reg. de la Araucania)
city_cl_09205,CL09205,base.cl,Lonquimay (Reg. de la Araucania)
city_cl_09206,CL09206,base.cl,Los Sauces (Reg. de la Araucania)
city_cl_09207,CL09207,base.cl,Lumaco (Reg. de la Araucania)
city_cl_09110,CL09110,base.cl,Melipeuco (Reg. de la Araucania)
city_cl_09111,CL09111,base.cl,Nueva Imperial (Reg. de la Araucania)
city_cl_09112,CL09112,base.cl,Padre Las Casas (Reg. de la Araucania)
city_cl_09113,CL09113,base.cl,Perquenco (Reg. de la Araucania)
city_cl_09114,CL09114,base.cl,Pitrufquén (Reg. de la Araucania)
city_cl_09115,CL09115,base.cl,Pucón (Reg. de la Araucania)
city_cl_09208,CL09208,base.cl,Purén (Reg. de la Araucania)
city_cl_09209,CL09209,base.cl,Renaico (Reg. de la Araucania)
city_cl_09116,CL09116,base.cl,Saavedra (Reg. de la Araucania)
city_cl_09101,CL09101,base.cl,Temuco (Reg. de la Araucania)
city_cl_09117,CL09117,base.cl,Teodoro Schmidt (Reg. de la Araucania)
city_cl_09118,CL09118,base.cl,Toltén (Reg. de la Araucania)
city_cl_09210,CL09210,base.cl,Traiguén (Reg. de la Araucania)
city_cl_09211,CL09211,base.cl,Victoria (Reg. de la Araucania)
city_cl_09119,CL09119,base.cl,Vilcún (Reg. de la Araucania)
city_cl_09120,CL09120,base.cl,Villarrica (Reg. de la Araucania)
base.state_cl_10,CL10202,base.cl,Ancud (Reg. de los Lagos)
city_cl_10102,CL10102,base.cl,Calbuco (Reg. de los Lagos)
city_cl_10201,CL10201,base.cl,Castro (Reg. de los Lagos)
city_cl_10401,CL10401,base.cl,Chaitén (Reg. de los Lagos)
city_cl_10203,CL10203,base.cl,Chonchi (Reg. de los Lagos)
city_cl_10103,CL10103,base.cl,Cochamó (Reg. de los Lagos)
city_cl_10204,CL10204,base.cl,Curaco de Vélez (Reg. de los Lagos)
city_cl_10205,CL10205,base.cl,Dalcahue (Reg. de los Lagos)
city_cl_10104,CL10104,base.cl,Fresia (Reg. de los Lagos)
city_cl_10105,CL10105,base.cl,Frutillar (Reg. de los Lagos)
city_cl_10402,CL10402,base.cl,Futaleufú (Reg. de los Lagos)
city_cl_10403,CL10403,base.cl,Hualaihue (Reg. de los Lagos)
city_cl_10107,CL10107,base.cl,Llanquihue (Reg. de los Lagos)
city_cl_10106,CL10106,base.cl,Los Muermos (Reg. de los Lagos)
city_cl_10108,CL10108,base.cl,Maullín (Reg. de los Lagos)
